	Top N Predictions	True Positives	Precision	comparison	thresholds	dataset	data_configuration
1	1	1	1.0	$\alpha$=0.05	1.0	data_7	5_sources
2	2	2	1.0	$\alpha$=0.05	2.0	data_7	5_sources
3	3	3	1.0	$\alpha$=0.05	3.0	data_7	5_sources
4	5	3	0.6	$\alpha$=0.05	4.0	data_7	5_sources
5	6	3	0.5	$\alpha$=0.05	5.0	data_7	5_sources
6	7	3	0.42857142857142855	$\alpha$=0.05	6.0	data_7	5_sources
7	9	4	0.4444444444444444	$\alpha$=0.05	7.0	data_7	5_sources
8	10	4	0.4	$\alpha$=0.05	8.0	data_7	5_sources
9	11	5	0.45454545454545453	$\alpha$=0.05	9.0	data_7	5_sources
10	13	6	0.46153846153846156	$\alpha$=0.05	10.0	data_7	5_sources
11	19	8	0.42105263157894735	$\alpha$=0.05	15.0	data_7	5_sources
12	26	9	0.34615384615384615	$\alpha$=0.05	20.0	data_7	5_sources
13	66	17	0.25757575757575757	$\alpha$=0.05	50.0	data_7	5_sources
14	99	21	0.21212121212121213	$\alpha$=0.05	75.0	data_7	5_sources
15	132	27	0.20454545454545456	$\alpha$=0.05	100.0	data_7	5_sources
0	0	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_7	5_sources
1	0	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_7	5_sources
2	0	0	0.0	$\alpha$=0.05 (BH-adj)	2.0	data_7	5_sources
3	0	0	0.0	$\alpha$=0.05 (BH-adj)	3.0	data_7	5_sources
4	1	1	1.0	$\alpha$=0.05 (BH-adj)	4.0	data_7	5_sources
5	1	1	1.0	$\alpha$=0.05 (BH-adj)	5.0	data_7	5_sources
6	1	1	1.0	$\alpha$=0.05 (BH-adj)	6.0	data_7	5_sources
7	2	2	1.0	$\alpha$=0.05 (BH-adj)	7.0	data_7	5_sources
8	2	2	1.0	$\alpha$=0.05 (BH-adj)	8.0	data_7	5_sources
9	2	2	1.0	$\alpha$=0.05 (BH-adj)	9.0	data_7	5_sources
10	3	3	1.0	$\alpha$=0.05 (BH-adj)	10.0	data_7	5_sources
